Date,Open,High,Low,Close,Adj Close,Volume
4/26/2023,28478.51953,28551.60938,28319.76953,28416.4707,28416.4707,68700000
4/27/2023,28340.58984,28459.73047,28241.66992,28457.67969,28457.67969,73600000
4/28/2023,28705.91016,28879.24023,28499.50977,28856.43945,28856.43945,104000000
5/1/2023,29058.05078,29145.89063,29016.83008,29123.17969,29123.17969,73400000
5/2/2023,29278.80078,29278.80078,29083.13086,29157.94922,29157.94922,63900000
5/8/2023,29095.46094,29144.11914,28931.81055,28949.88086,28949.88086,74100000
5/9/2023,29020.63086,29262.35938,29020.63086,29242.82031,29242.82031,86400000
5/10/2023,29189.41016,29195.16016,29070.10938,29122.17969,29122.17969,87300000
5/11/2023,29110.78906,29165.58984,29028.71094,29126.7207,29126.7207,82200000
5/12/2023,29199.30078,29426.06055,29141.51953,29388.30078,29388.30078,106100000
5/15/2023,29547.03906,29629.4707,29475.9707,29626.33984,29626.33984,88600000
5/16/2023,29838.00977,29916.56055,29779.07031,29842.99023,29842.99023,107400000
5/17/2023,29912.43945,30115.32031,29912.43945,30093.58984,30093.58984,93100000
5/18/2023,30432.53906,30667.13086,30381.90039,30573.92969,30573.92969,90500000
5/19/2023,30847.35938,30924.57031,30679.16016,30808.34961,30808.34961,80500000
5/22/2023,30735.71094,31086.82031,30689.26953,31086.82031,31086.82031,75400000
5/23/2023,31245.7207,31352.5293,30828.73047,30957.76953,30957.76953,92200000
5/24/2023,30728.68945,30856.91992,30566.83008,30682.67969,30682.67969,81700000
5/25/2023,30599.26953,30889.98047,30558.14063,30801.13086,30801.13086,84000000
5/26/2023,30909.60938,31101.59961,30864.49023,30916.31055,30916.31055,78300000
5/29/2023,31388.00977,31560.42969,31164,31233.53906,31233.53906,78300000
5/30/2023,31196.24023,31374.83008,31064.18945,31328.16016,31328.16016,71800000
5/31/2023,31057.08984,31142.7793,30785.98047,30887.88086,30887.88086,184600000
6/1/2023,30886.00977,31185.05078,30853.43945,31148.00977,31148.00977,95100000
6/2/2023,31300.7207,31555.53906,31257.00977,31524.2207,31524.2207,90700000
6/5/2023,31864.11914,32217.42969,31798.7207,32217.42969,32217.42969,98800000
6/6/2023,31988.36914,32534.4707,31933.86914,32506.7793,32506.7793,82500000
6/7/2023,32618.7793,32708.5293,31913.74023,31913.74023,31913.74023,111900000
6/8/2023,31877.78906,32035.94922,31420.44922,31641.26953,31641.26953,86000000
6/9/2023,31927.38086,32304.03906,31898.75,32265.16992,32265.16992,101500000
6/12/2023,32412.11914,32517.67969,32280.53906,32434,32434,68700000
6/13/2023,32668.94922,33127.35938,32638.21094,33018.64844,33018.64844,89500000
6/14/2023,33331.46875,33665.51953,33203.94922,33502.42188,33502.42188,111600000
6/15/2023,33493.69141,33767.12891,33386.01172,33485.48828,33485.48828,105800000
6/16/2023,33399.14844,33772.76172,33186.92969,33706.07813,33706.07813,132000000
6/19/2023,33768.69141,33772.89063,33231.55859,33370.42188,33370.42188,82900000
6/20/2023,33269.57031,33474.73828,33089.01953,33388.91016,33388.91016,82400000
6/21/2023,33200.62891,33657.87109,33154.67969,33575.14063,33575.14063,82000000
6/22/2023,33438.01172,33641.46094,33232.19141,33264.87891,33264.87891,94700000
6/23/2023,33458.35156,33533.46875,32575.56055,32781.53906,32781.53906,103600000
6/26/2023,32647.08008,32884.73047,32392.7207,32698.81055,32698.81055,74100000
6/27/2023,32629.96094,32689.09961,32306.99023,32538.33008,32538.33008,79600000
6/28/2023,32807.83984,33193.98828,32642.86914,33193.98828,33193.98828,91100000
6/29/2023,33306.83984,33527.98047,33185.19922,33234.14063,33234.14063,117900000
6/30/2023,33068.35938,33232.89063,32918.76953,33189.03906,33189.03906,111300000
7/3/2023,33517.60156,33762.80859,33510.55078,33753.32813,33753.32813,95400000
7/4/2023,33512.26172,33576.44922,33338.78125,33422.51953,33422.51953,99400000
7/5/2023,33165.05859,33389.21875,33041.14063,33338.69922,33338.69922,95100000
7/6/2023,33058.39844,33079.44922,32637.7207,32773.01953,32773.01953,100600000
7/7/2023,32450.64063,32730.25,32327.90039,32388.41992,32388.41992,105100000
7/10/2023,32393.46094,32558.98047,32065.63086,32189.73047,32189.73047,101200000
7/11/2023,32434.66992,32468.69922,32084.41992,32203.57031,32203.57031,87200000
7/12/2023,32280.05078,32312.0293,31791.71094,31943.92969,31943.92969,88400000
7/13/2023,32106.05078,32484.40039,31952.98047,32419.33008,32419.33008,77800000
7/14/2023,32587.90039,32780.62891,32225.36914,32391.25977,32391.25977,90300000
7/18/2023,32457.17969,32714.58984,32338.30078,32493.89063,32493.89063,81100000
7/19/2023,32812.35938,32896.03125,32671.0293,32896.03125,32896.03125,81900000
7/20/2023,32803.35156,32861.01953,32462.85938,32490.51953,32490.51953,75600000
7/21/2023,32336.85938,32462.43945,32080.94922,32304.25,32304.25,79400000
7/24/2023,32648.14063,32793.76953,32554.46094,32700.93945,32700.93945,83500000
7/25/2023,32705.39063,32715.56055,32509.93945,32682.50977,32682.50977,101000000
7/26/2023,32704.96094,32724.25,32488.51953,32668.33984,32668.33984,85200000
