Date,Open,High,Low,Close,Adj Close,Volume
2/14/2012,21680,21780,21480,21600,16984.31641,12317400
2/15/2012,21960,22760,21840,22700,17849.25781,28522350
2/16/2012,22600,22800,22420,22700,17849.25781,15411800
2/17/2012,23180,23600,23120,23520,18494.03125,17308450
2/20/2012,23560,23880,23320,23500,18478.30469,14814150
2/21/2012,23500,23960,23300,23600,18556.93945,10808250
2/22/2012,23640,24000,23440,23940,18824.28125,11779250
2/23/2012,23460,23580,23020,23200,18242.41016,23259200
2/24/2012,23060,23720,23060,23600,18556.93945,14240300
2/27/2012,23480,23600,23180,23420,18415.40625,8273300
2/28/2012,23920,24000,23620,23700,18635.56445,16648100
2/29/2012,23820,24180,23820,24120,18965.81445,17278300
3/2/2012,24300,24340,23580,23640,18588.38672,18023700
3/5/2012,23800,23820,23320,23480,18462.58008,11175250
3/6/2012,23580,23860,23340,23600,18556.93945,10572850
3/7/2012,23500,23660,23300,23440,18431.12891,11521550
3/8/2012,23600,23720,23300,23600,18556.93945,20270400
3/9/2012,23820,24620,23760,24600,19343.25195,18228800
3/12/2012,24480,24520,24200,24200,19028.71875,11826950
3/13/2012,24000,24580,24000,24420,19201.70898,11985550
3/14/2012,24600,25100,24600,25000,19657.77734,18279650
3/15/2012,25020,25200,24840,25000,19657.77734,14038800
3/16/2012,25200,25340,24760,24760,19469.05859,18070200
3/19/2012,24700,25360,24680,25200,19815.02734,11881850
3/20/2012,25340,25540,25200,25340,19925.12305,11935500
3/21/2012,25200,25200,24840,24840,19531.96289,12913550
3/22/2012,24700,25260,24700,25160,19783.57813,12675450
3/23/2012,24860,25480,24860,25220,19830.76172,10818600
3/26/2012,25360,25500,25220,25500,20050.92578,9237800
3/27/2012,25700,26220,25520,26220,20617.07227,14186350
3/28/2012,26000,26160,25900,26040,20475.53906,9914550
3/29/2012,25980,25980,25600,25600,20129.55859,11670000
3/30/2012,25400,25600,25140,25500,20050.92578,15281700
4/2/2012,25500,25980,25220,25980,20428.35742,12582950
4/3/2012,26400,26780,26040,26700,20994.49609,16507900
4/4/2012,26620,27020,26300,26400,20758.60156,14599350
4/5/2012,26040,26700,25940,26600,20915.86328,12921350
4/6/2012,26540,26680,26260,26640,20947.32422,10289650
4/9/2012,26400,26600,26120,26340,20711.43359,8572600
4/10/2012,26280,26400,26140,26220,20617.07227,11176100
4/12/2012,25660,25980,25360,25460,20019.48047,25240650
4/13/2012,25300,25540,25200,25360,19940.8457,35409200
4/16/2012,25460,25520,25000,25180,19799.3125,15222400
4/17/2012,25020,25280,24820,24980,19642.05078,14552300
4/18/2012,25540,26040,25380,25860,20333.99609,17253750
4/19/2012,25840,26140,25780,26140,20554.16992,13156400
4/20/2012,25880,25940,25560,25640,20161.01367,9900550
4/23/2012,25380,25600,25240,25580,20113.83203,8388400
4/24/2012,25300,25720,25240,25660,20176.73828,13238350
4/25/2012,26080,26300,25860,26100,20522.71484,13821600
4/26/2012,26400,26800,26340,26800,21073.12891,16479500
4/27/2012,27100,27660,27020,27480,21607.81836,15905350
4/30/2012,27900,28180,27540,27800,21859.44531,15757100
5/2/2012,28200,28360,27980,28200,22173.9668,18420750
5/3/2012,28040,28200,27960,28020,22032.43164,10327050
5/4/2012,27500,27960,26980,27200,21387.6543,20484300
5/7/2012,26840,27060,26500,26840,21104.58984,18908450
5/8/2012,26960,27040,26780,26820,21088.85547,12048600
5/9/2012,26700,26960,26480,26620,20931.5957,12661700
5/10/2012,26580,26720,26440,26540,20868.69336,13145000
5/11/2012,26300,26460,26060,26060,20491.26563,13626400
5/14/2012,26100,26540,26080,26280,20664.24609,15092100
5/15/2012,26080,26400,26000,26220,20617.07227,15558100
5/16/2012,25960,26000,24560,24600,19343.25195,38488900
5/17/2012,24600,24860,24020,24460,19233.16406,33041100
5/18/2012,24080,24100,23300,23320,18336.76563,30023750
5/21/2012,23880,24320,23800,24180,19013.00391,23702750
5/22/2012,25100,25100,24540,24800,19500.51563,23830550
5/23/2012,24800,24800,23900,24420,19201.70898,16157100
5/24/2012,24260,24500,23960,24500,19264.61914,15251250
5/25/2012,24660,24920,24460,24500,19264.61914,10164250
5/29/2012,24240,24760,24120,24760,19469.05859,10815350
5/30/2012,24760,24800,24300,24520,19280.33984,12653250
5/31/2012,24260,24260,23840,24220,19044.45313,22106900
6/1/2012,24260,24740,23980,24660,19390.42578,13554450
6/4/2012,23960,24100,23840,23920,18808.55469,18068750
6/5/2012,24020,24180,23860,24060,18918.63867,12848900
6/7/2012,24780,25300,24660,25300,19893.66992,20928350
6/8/2012,25500,25500,24900,24940,19610.59766,9956350
6/11/2012,25440,25500,25320,25360,19940.8457,9906200
6/12/2012,24920,25200,24900,25100,19736.4082,8805200
6/13/2012,25320,25480,25120,25420,19988.02148,9572600
6/14/2012,25380,25420,25120,25220,19830.76172,21995050
6/15/2012,25000,25200,24280,24340,19138.80664,30404200
6/18/2012,24800,25140,24680,24860,19547.68359,17608150
6/19/2012,24900,24940,24440,24880,19563.41602,14839400
6/20/2012,24980,25300,24900,25040,19689.2207,13237700
6/21/2012,24680,24840,24520,24540,19296.06641,12753750
6/22/2012,23780,24040,23600,23640,18588.38672,31294350
6/25/2012,23420,23560,22560,22640,17802.08008,41318100
6/26/2012,22660,22980,22580,22780,17912.1543,25283500
6/27/2012,22800,23540,22600,23340,18352.49805,23542000
6/28/2012,23340,23600,23060,23360,18376.0957,10398350
6/29/2012,23340,24020,23060,24020,18895.28516,18604450
7/2/2012,24160,24180,23420,23480,18470.48828,19106750
7/3/2012,23640,23860,23400,23500,18486.22461,15801550
7/4/2012,23640,23940,23560,23820,18737.95703,19158750
7/5/2012,23740,23880,23540,23700,18643.55273,9068550
7/6/2012,23880,23880,23060,23220,18265.9668,21158900
7/9/2012,22700,22760,22520,22520,17715.31445,21282300
7/10/2012,22700,22840,22420,22540,17731.04297,17720700
7/11/2012,22580,22660,22160,22360,17589.44727,18001300
